startdate,enddate,uid_r,text,gods_involved
02-02,02-02,V376-2,"On 2/2 the rites of Toufu 头福 (beginning good fortune) are celebrated. Yanggong taishi 杨公太师 of the Linchaogong 临潮宫 goes on a procession through Wutang 梧塘, Xishi 西施, Dongyang 东阳, Wutang 梧塘, Xuqiao 徐桥, Goumei 沟美, and Gouxi 沟西. These events are organized by the Linchaogong 临潮宫, and funds are collected on a per capita basis.",['Yanggong taishi']
01-08,01-08,V377-1,On 1/8 the incense burners of the Yongqingshê 永庆社 are invited to practice the Dao 行道 in every household.,[]
01-14,01-14,V377-2,"On 1/14 the gods of the Yangzhici are invited to go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
02-02,02-02,V377-3,"On 2/2 the rites of Toufu 头福 (beginning good fortune) are celebrated. Yanggong taishi 杨公太师 of Linchaogong 临潮宫 goes on procession through Goumei 沟美, Dongyang 东阳, Wutang 梧塘, Xuqiao 徐桥, Xishi 西施, and Gouxi 沟西. These events are organized by Linchaogong 临潮宫, and funds are collected on a per capita basis.",['Yanggong taishi']
01-13,01-14,V378-1,On 1/13–14 the gods of Zhaolinggong 昭灵宫 and Zhongjingshê 中井社 (excluding Xushi shengfei 许氏圣妃 and Wushi shengfei 吴氏圣妃) are carried in a procession within the village.,"['Wushi shengfei', 'Xushi shengfei']"
02-02,02-02,V378-2,"On 2/2 Toufu 头福 is celebrated. Qitian dasheng 齐天大圣 is taken on a procession to practice the Dao 行道 in every household. On these days, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Qitian dasheng']
01-13,01-13,V379-1,On 1/13 the gods of the Chengxingshê 诚兴社 are taken on a procession around the village.,[]
02-01,02-01,V379-2,"On 2/1 Toufu 头福 is celebrated. On these days, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-14,01-15,V380-1,On1/14–15 the gods of Huiling xinggong 会灵行宫 and Xin’an shangshê 新安上社 go on procession within the village.,[]
02-01,02-01,V380-2,"On 2/1 Toufu 头福 is celebrated. Wushi shengfei 吴氏仙妃 is taken on a procession around the village. On these days, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes these rituals together, and funds are collected on a per capita basis.",['Wushi shengfei']
01-13,01-13,V381-1,On 1/13 the gods of the Xixi zushê 溪西祖社 are taken to each household to xingdao 行道. In the evening there is a lantern procession around the village boundaries. Daoist ritual masters conduct rites in the temple.,[]
01-28,01-29,V381-2,"On 1/28–29, Toufu 头福 is celebrated and Lisan furen 李三夫人 is taken on a procession around the entire village. In the evening, palm leaf sedan chairs are raced over bonfires, opera is performed, and Daoist rites are conducted.",[]
01-15,01-15,V382-1,"On 1/15 the gods of Wanxingruigong 万 兴瑞宫 and Wanxingshê 万兴社 go on procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-23,01-23,V382-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyun dian 凌云殿 goes on a procession through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-10,01-10,V383-1,"On 1/10 the gods of Wanxing xingong 万兴新宫 are invited to go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-23,01-23,V383-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyun dian 凌云殿 goes on a procession through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-12,01-12,V384-1,"On 1/12 the incense burners of the gods of the Wanxing xinshê 万兴新社 are carried to every household to practice the Dao 行道. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-23,01-23,V384-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyundian 凌云殿 goes on a procession through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-10,01-10,V385-1,"On 1/10 the gods of Wanxing zushê 万兴祖社 go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-23,01-23,V385-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyundian 凌云殿 goes on a procession through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-12,01-12,V386-1,"On 1/12 the gods of Wanxing xinshê 万兴新社 go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-23,01-23,V386-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyundian 凌云殿 goes on a proces sion through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-13,01-13,V387-1,"On 1/13 the gods of the Wanxing zushê 万兴祖社 go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-23,01-23,V387-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyundian 凌云殿 goes on a procession through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-11,01-11,V388-1,"On 1/11 the gods of Wanxing zushê 万兴祖社 go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-23,01-23,V388-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyundian 凌云殿 goes on a procession through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-14,01-14,V389-1,"On 1/14 the gods of Wanxing zushê 万兴祖社 go on procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. This event is organized together with the Gongdou Lin 宫兜林, and funds are collected on a per capita basis.",[]
01-23,01-23,V389-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyundian 凌云殿 goes on a procession through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-15,01-16,V390-1,"On 1/15–16, the gods of Yangqingong 洋沁宫 are invited to go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-23,01-23,V390-2,"On 1/23 Yuhuang dadi 玉皇大帝 of Lingyun dian 凌云殿 goes on a procession through the sevenfold ritual alliance. Opera is performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Wangxing xingong 万兴新宫 of Jiaobei 郊北, and funds are collected on a per capita basis.",['Yuhuang dadi']
01-10,01-10,V391-1,On 1/10 the gods of the Haopushê 濠浦社 go on a procession within the village.,[]
02-02,02-02,V391-2,"On 2/2 Toufu 头福 is celebrated. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis. Five Fushou 福首 (Shêlu 社炉) are selected in rotation according to age each year.",[]
01-14,01-14,V392-1,"On 1/14 the gods of the Haopushê 濠浦社 and the Xiangying xiantan 祥应显坛 go on procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-12,01-12,V393-1,On 1/12 Xijing 西境 invites the gods of Haopushê 濠浦社 to go on a procession within its territory.,[]
01-13,01-13,V393-2,On 1/13 Dongjing 东境 invites the gods of Haopushê 濠浦社 to go on a procession within its territory.,[]
01-14,01-15,V393-3,"On 1/14–15 a common Yuanxiao 总元宵 is held. The gods of Dengkegong 登科宫 are invited to go on a procession throughout the village. On these days, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-14,01-14,V394-1,"On 1/14 the gods of Haopushê 濠浦社 and Zhaominggong 昭明宫 go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-12,01-12,V395-1,"On 1/12, the incense burners shêlu 社炉 of Haopushê 濠浦社, Yutianci 玉天祠 and Ruiliandong 瑞莲洞 are carried to every household to practice the Dao 道 and then go on a procession within the village.",[]
01-24,01-24,V395-2,"On 1/24, the final evening of the Yuanxiao festival, the wanye Yuanxiao 晚夜元宵, is celebrated. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-04,01-04,V396-1,"On 1/4, the gods are welcomed back from heaven 接神, and torches are lit 点火把.",[]
01-11,01-12,V396-2,"On 1/11–12, the Lin 林 invite Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 to go on a procession to every household.","['Houtu furen', 'Zunzhu mingwang']"
01-13,01-13,V396-3,On 1/13 the Weng 翁 and the Zeng 曾 invite Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 to go on a procession to every household.,"['Houtu furen', 'Zunzhu mingwang']"
01-24,01-24,V396-4,"On 1/24, the final evening of the Yuanxiao festival (Weiye Yuanxiao) is celebrated and new Fushou 福首 are selected in place of those of the succeeding year 新旧福首交接.",[]
01-29,01-29,V396-5,"On 1/29 the rites of Toufu 头福 (beginning good fortune) are celebrated. The gods of the Fuxingshê 福兴社 are invited to go on procession within Qiandun 前墩 and Houdun 后墩. These events are organized by Fuxingshê, and funds are collected on a per capita basis. On these occasions, opera is performed and Daoist ritual masters are invited to conduct rituals",[]
01-15,01-16,V397-1,"On 1/15–16 the gods of the Fuxingshê 福兴社 are invited to go on a procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
02-02,02-02,V397-2,"On 2/2 the rites of Toufu 头福 (beginning good fortune) are celebrated. The gods of the Fuxingshê 福兴社 are invited to go on procession within Qiandun 前墩 and Houdun 后墩. These events are organized by Fuxingshê, and funds are collected on a per capita basis. On these occasions, opera is performed and Daoist ritual masters are invited to conduct rituals.",[]
01-18,01-19,V398-1,On 1/18–19 the gods of Anren zushê 安仁祖社 and Lingxunmiao 灵逊庙 are invited to practice the Dao in every household and to go on a procession within the village.,[]
02-02,02-02,V398-2,"On 2/2 the rites of Toufu 头福 (beginning good fortune) are celebrated. On these days, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-15,01-15,V399-1,"On 1/15, Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 are taken on a procession around the village. Anrenshê 安仁社 and Wenfengshê 文峰社 separately organize the event. Opera is performed and Daoist ritual masters are invited to conduct rituals. Funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
01-11,01-11,V400-1,On 1/11 Weixiang 尾巷 takes the incense burners of the shê on a procession to xingdao 行道 practice the Dao.,[]
01-12,01-12,V400-2,On 1/12 Shanggou 上沟 takes the incense burners of the shê on a procession to xingdao 行道 practice the Dao.,[]
01-13,01-13,V400-3,On 1/13 the Wu 吴 of Zhongjianzhan 中 间站 takes the incense burners of the shê on a procession to xingdao 行道 practice the Dao.,[]
01-14,01-14,V400-4,On 1/14 Dongxing 东兴 takes the incense burners of the shê on a procession to xingdao 行道 practice the Dao.,[]
01-16,01-16,V400-5,On 1/16 Weicuo 尾厝 and Shanbu 山步 take the incense burners of the shê on a procession to xingdao 行道 practice the Dao.,[]
01-27,01-27,V400-6,"On 1/27 the general Yuanxiao of the four village ritual alliance is held 总元宵. The spirit mediums 神童 form tanban 坛班 altar association, and carry Zhanggong shengjun 张公圣君 and his incense burner 香炉 on a procession 巡游. This event was originally organized the by the village elders 乡老, but now a temple management committee has been established with sixteen members to organize the celebrations, and they invite Daoist masters to conduct a jiao ritual 建醮 and issue proclamations 榜文.",['Zhanggong shengjun']
01-10,01-10,V401-1,On 1/10 the villagers take the incense burners of the shê on a procession to xingdao 行道 practice the Dao.,[]
01-27,01-27,V401-2,On 1/27 the villagers participate in the four-fold village alliance general Yuanxiao celebration and procession.,[]
01-07,01-07,V402-1,On 1/7 invite the gods of the Qingyunmiao 庆云庙 and the Dongqingshê 东庆社 to go on a procession through the village.,[]
01-27,01-27,V402-2,On 1/27 the villagers participate in the four-fold village alliance general Yuanxiao celebration and procession.,[]
01-15,01-15,V403-1,On 1/15 the villagers take the gods of the Wan’an dongqingshê 万安东庆社 on a procession through the village.,[]
01-27,01-27,V403-2,On 1/27 the villagers participate in the four-fold village alliance general Yuanxiao celebration and procession.,[]
01-09,01-09,V404-1,On 1/9 Chongxing lishê 重兴里社 takes the incense burners of the shê on a procession through the village to each of their households to xingdao 行道 practice the Dao.,[]
01-12,01-12,V404-2,On 1/12 Wujiao lishê 梧郊里社 takes the incense burners of the shê on a procession through the village to each of their household to xingdao 行道 practice the Dao.,[]
01-13,01-13,V404-3,On 1/13 Xinxing lishê 新兴里社 takes the incense burners of the shê on a procession through the village to each of their households to xingdao 行道 practice the Dao.,[]
01-15,01-15,V404-4,On 1/15 Chongxing lishê 重兴里社 concludes the Yuanxiao festival with a procession around the boundaries of their territory.,[]
01-20,01-20,V404-5,On 1/20 Wujiao lishê 梧郊里社 concludes the Yuanxiao festival with a procession around the boundaries of their territory.,[]
01-24,01-24,V404-6,On 1/24 Xinxing lishê 新兴里社 concludes the Yuanxiao festival with a procession around the boundaries of their territory.,[]
01-12,01-12,V405-1,On 1/12 spirit mediums 神童 carry the incense burner of Beidou xingjun 北斗星君 in a procession.,['Beidou xingjun']
01-13,01-13,V405-2,On 1/13 a procession is held around the village boundaries and lanterns are paraded and the roadways are sealed against demonic influences 封路.,[]
01-15,01-15,V406-1,"On 1/15 the Shêgong 社公 and the Shêma 社妈 visit each household to xingdao 行道 practice the Dao. At night, a procession is held around the village boundaries and lanterns are paraded 绕境游灯.",[]
01-20,01-20,V406-2,"On 1/20, the spirit mediums of all the black banner alliance villages are invited to pick flower-flames 神童采花. (compete in feats of pain by standing bare-chested in the flames of a Roman candle).",[]
01-11,01-11,V407-1,On 1/11 the Yu 俞 lineage takes the incense burners of the shê on a procession through the village to each household to xingdao 行道 practice the Dao.,[]
01-18,01-18,V407-2,"On 1/18 the general Yuanxiao is held, and spirit mediums lead a procession around the village boundaries. At night they perform fire-walking rites. Formerly, Shangyu village would go on a joint procession at this time with the other villages in its while banner alliance, including Shangwu 上梧, Houting 后亭, Nancheng 南埕, and Yanning 延宁.",[]
01-16,01-16,V408-1,On 1/16 there is a procession around the boundaries of the village and the roadways are sealed against demonic influences 封路. Daoist masters are summoned to hold jiao rituals 做醮.,[]
01-09,01-09,V409-1,On 1/9 the Yan 严 lineage takes the incense burners of the shê on a procession through the village to each household to xingdao 行道 practice the Dao.,[]
01-10,01-10,V409-2,On 1/10 the Huang 黄 lineage takes the incense burners of the shê on a procession through the village to each household to xingdao 行道 practice the Dao.,[]
01-15,01-15,V409-3,On 1/15 villagers go to Lingyundian 凌云殿 on Hugong 壶公 Mountain to request incense fire from Yuhuang dadi 玉皇大帝香火. Sima shengwang 司马圣王 and Beidou xingjun 北斗星君 possess spirit mediums who go on a procession through the village. Daoist ritual masters from Duotou 哆头 are invited to conduct a jiao ritual 做醮.,"['Beidou xingjun', 'Sima shengwang', 'Yuhuang dadi']"
01-10,01-10,V410-1,"On 1/10 the village holds a general Yuanxiao festival, and invites Sima shengwang 司马圣王 to go on a procession through the village.",['Sima shengwang']
01-13,01-13,V411-1,On 1/13 Qiandun 前墩 takes the gods on procession and seals the roadways against demonic influences 封路.,[]
01-15,01-15,V411-2,On 1/15 Houdun 后墩 takes the gods on procession and seals the roadways against demonic influences 封路.,[]
01-11,01-11,V412-1,On 1/11 Beidou xingjun 北斗星君 and Hei daren 黑大人 are taken out on a procession around the village and the roadways are sealed against demonic influences 封路.,"['Beidou xingjun', 'Hei daren']"
01-10,01-10,V413-1,On 1/10 the gods of Dunangong 度南 宫 are invited on a procession through Hougong village to xingdao 行道 practice the Dao.,[]
01-16,01-16,V413-2,"On 1/16 Hougong village, together with Houxue village 后学, celebrate the end of the Yuanxiao festival. They invite the spirit mediums of Dunangong 度南宫 and Shuxingmiao 书兴庙 to go into trance and go on procession through their villages, and to seal the roadways against demonic influences 封路.",[]
01-09,01-09,V414-1,"On 1/9, the gods of Dunangong 度南宫 are invited on a procession through Hougong village to xingdao 行道 practice the Dao.",[]
01-16,01-16,V414-2,"On 1/16 Houxue village, together with Hougong village 后宫, celebrate the end of the Yuanxiao festival. They invite the spirit mediums of Dunangong 度南宫 and Shuxingmiao 书兴庙 to go into trance and go on procession through their villages, and to seal the roadways against demonic influences 封路.",[]
01-15,01-15,V415-1,On 1/15 the villagers take the gods of the Xinglingdian 兴灵殿 on a procession around the village boundaries.,[]
01-17,01-17,V415-2,On 1/17 the gods of the Xixingshê 西兴社 on a procession around the village boundaries.,[]
01-11,01-11,V416-1,On 1/11 a procession is held in the village.,[]
01-13,01-13,V416-2,On 1/13 palm sedan chairs with miniature statues of the gods are taken on procession 摆棕轿.,[]
01-09,01-09,V416-3,On 1/9 the Huang lineage 黄氏 celebrates Yuanxiao 元宵.,[]
01-26,01-26,V416-4,On 1/26 the village takes part in the general procession of the six-fold ritual alliance. This event is organized by the six-fold alliance management committee.,[]
01-12,01-12,V417-1,"On 1/12, the Zunzhu mingwang 尊主 明王, Houtufuren 后土夫人 and Yanggong taishi 杨公太师 of Linzhengong 灵镇宫 are taken on a procession throughout their own village.","['Yanggong taishi', 'Zunzhu mingwang']"
01-15,01-15,V417-2,"On 1/15, there is a fire walking rite 踩火.",[]
01-26,01-26,V417-3,On 1/26 the village takes part in the general procession of the six-fold ritual alliance. This event is organized by the sixfold alliance management committee. Five Daoist ritual masters are invited to conduct a jiao ritual 做醮.,[]
01-11,01-11,V418-1,"On 1/11, the villagers go on a procession in their own village.",[]
01-26,01-26,V418-2,On 1/26 the village takes part in the general procession of the six-fold ritual alliance. This event is organized by the six-fold alliance management committee.,[]
01-14,01-14,V419-1,On 1/14 Kanggong yuanshuai 康公 元帅 is invited to the village to go on procession. Spirit mediums “pluck the flames” 神童踩火.,['Kanggong yuanshuai']
01-21,01-21,V419-2,On 1/21 opera is performed and on 1/26 the village takes part in the six-village collective procession 六境总巡游. This event is organized by the six-fold ritual alliance temple management committee. Five Daoist masters are invited to perform a jiao ritual 做醮. Each year four Fushou 福首 are selected to organize the ritual activities of the year.,[]
01-13,01-13,V420-1,"On 1/13 there is a procession within the village, and the spirit mediums of neighboring villages are invited to pick flower-flames (undergo feats of pain by standing bare-chested in the flames of massive Roman candles) 神童采花.",[]
01-26,01-26,V420-2,On 1/26 the village takes part in the six-village collective procession 六境总巡游. This event is organized by the six-fold ritual alliance temple management committee. Five Daoist masters are invited to perform a jiao ritual 做醮.,[]
01-11,01-11,V421-1,On 1/11 there is a procession within the village.,[]
01-26,01-26,V421-2,On 1/26 the village takes part in the six-village collective procession 六境总巡游. This event is organized by the six-fold ritual alliance temple management committee. Five Daoist masters are invited to perform a jiao ritual 做醮.,[]
01-10,01-10,V422-1,On 1/10 the Yao 姚 take the incense burners of the Xinganshê 兴安社 and the Fushangong 福山宫 on a procession to each of their households to xingdao 行道 practice the Dao.,[]
01-11,01-11,V422-2,On 1/11 the Dalu 大路 Daxishê 大西社 take the incense burners of the Fushangong 福山宫 on a procession to each of their households to xingdao 行道 practice the Dao.,[]
01-12,01-12,V422-3,On 1/12 the Zheng 郑 of Qianshê 前社 and the Lin 林 of Xingyishê 兴义社 take the incense burners of the Fushangong 福山宫 on a procession to each of their households to xingdao 行道 practice the Dao.,[]
01-13,01-13,V422-4,On 1/13 the Weng of Zushê 翁姓祖社 and the community of Xizhoushê 西周社 take the incense burners of the Fushangong 福山宫 on a procession to each of their household to xingdao 行道 practice the Dao.,[]
01-14,01-14,V422-5,On 1/14 the Shê of Sanzhou 三洲佘姓 take the incense burners of the Fushangong 福山宫 on a procession to each of their household to xingdao 行道 practice the Dao.,[]
01-22,01-22,V422-6,"On 1/22 a general Yuanxiao festival is held in Qianshê 前社, and the spirit mediums 神童 of Changshoutang 长寿堂 are invited to go on a procession around the borders of the community and to seal the roadways against demonic influences 封路.",[]
01-24,01-24,V422-7,"On 1/24, the spirit mediums 神童 of Lingshunmiao 灵顺庙 are invited to do the same.",[]
02-03,02-4,V422-8,On 2/3–4 the Hongmingdian 宏明殿 of Jiangtouwei 江头尾 invites all the spirit mediums 神童 of all the neighboring black banner alliance villages to caihua “pick flower-flames 采花” (compete in feats of pain by standing bare-chested in the flames of a Roman candle).,[]
01-19,01-19,V423-1,On 1/19 the Zhang 张 take the incense burners of the Fushangong 福山宫 on a procession to each of their households to xingdao 行道 practice the Dao.,[]
01-13,01-13,V423-2,On 1/13 the Huang 黄 take the incense burners of the Fushangong 福山宫 on a procession to each of their households to xingdao 行道 practice the Dao.,[]
01-14,01-14,V423-3,On 1/14 the Shê of Sanzhoushê 三洲社佘姓 take the incense burners of the Fushangong 福山宫on a procession to each of their households to xingdao 行道 practice the Dao.,[]
01-15,01-15,V423-4,On 1/15 Qihangqiang 棋行前 invites Tiangong yuanshuai 田公元帅 to go on a procession around the village boundaries.,"['Tiangong', 'Tiangong yuanshuai']"
01-23,01-23,V423-5,"On 1/23 Dongzhijiao 东至角 holds a general Yuanxiao festival 总元宵, and invites the spirit mediums 神童 of Shoushangong 寿山宫 to go on a procession around the village boundaries, and seal the roadways against demonic influences 封路.",[]
01-27,01-27,V423-6,On 1/27 Qihangqian’s Lianzhongdong 棋行前莲中洞 invites the spirit mediums 神童 of all the neighboring black banner alliance villages to “pick flower-flames” 神童 采花 (compete in feats of pain by standing bare-chested in the flames of Roman candles),[]
01-09,01-09,V424-1,On 1/9 the incense burners of the shêaltar are taken on a procession to each household to xingdao 行道 practice the Dao.,[]
01-19,01-19,V424-2,"On 1/19 the overall Yuanxiao festival is celebrated. The spirit mediums 神童 of Xinglonggong 兴隆宫 go on a procession around the village boundaries, and seal the roadways against demonic influences 封路. Nanhu village invites the spirit mediums 神童 of all the neighboring black banner alliance villages to “pick flower-flames” 采花 (compete in feats of pain by standing bare-chested in the flames of Roman candles). Daoist ritual masters are invited to conduct a jiao ritual 道士做醮.",[]
01-08,01-08,V425-1,On 1/8 the Weng 翁 take Yanggong taishi 杨公太师 and his spirit medium 神童 on a procession and seal the roadways against demonic influences 封路.,['Yanggong taishi']
01-10,01-10,V425-2,On 1/10 the Fang 方 take the incense burners of the shê on a procession to xingdao 行道 practice the Dao.,[]
01-14,01-14,V425-3,"On 1/14 the 程 take Yanggong taishi 杨公太师, Gangong yuanshuai 干公 元帅, Wuxian yuashuai 五显元帅 and their spirit mediums in sedan chairs on a procession around the village.",['Yanggong taishi']
02-05,02-05,V425-4,"On 2/5 a general Yuanxiao celebration is held, organized by the Hu 胡. The spirit mediums of neighboring villages are invited to “pick flower-flames” 神童采花. (undergo feats of pain by standing bare-chested in the flames of Roman candles).",[]
01-15,01-16,V426-1,On 1/15–16 the gods of Xian shangshê 溪安上社 are taken on a procession around the village.,[]
02-02,02-02,V426-2,"On 2/2 the rites of Toufu 头福 (beginning good fortune) are celebrated. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-11,01-13,V427-1,On 1/11–13 the gods of Xian zushê 溪安祖社 are taken on a procession around the village.,[]
02-02,02-02,V427-2,"On 2/2 the rites of Toufu 头福 (beginning good fortune) are celebrated. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-14,01-14,V428-1,"On 1/14 the gods of Wulongmiao 五 龙庙 and Xidongshê 五龙庙 are taken on a procession around the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-14,01-15,V429-1,"On 1/14–15 the gods of Beichen zushê 北辰祖社 and Beichen zumiao 北辰祖庙 are taken on a procession around the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-08,01-10,V430-1,"On 1/8–10 the gods of Yongxingshê 永兴社 are taken on a procession around the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-09,01-10,V431-1,"On 1/9–10 or 1/11–12 (taking turns with Qiandun 前墩), Huang 黄 and Chen erdian jiangjun 陈二殿将军 are invited to go on procession within the four neighborhoods of the village.",[]
01-09,01-10,V432-1,"On 1/9–10 or 1/11–12, villagers participate in the procession of the Zheng 郑 and Wu 吴 lineages of Houdun 后墩 in rotation with the Xu 许 and Lin 林 lineages of Qiandun 前墩 village.",[]
01-09,01-10,V433-1,"On 1/9–10 or 1/11–12, the villagers take turns with Houdun 后墩 village to invite Huang 黄 and Chen 陈二殿将军 erdian jiangjun, four statues in total, to go on procession within the village. Opera is performed, and one Daoist master 师公 is invited to conduct Jiao rituals 做醮 for two nights.",[]
01-14,01-15,V434-1,"On 1/14–15, Tiangong yuanshuai 田公 元帅, Zhanggong yuanshuai 张公圣侯, Zunzhu mingwang 尊主明王, and Houtu furen 后土夫人 are carried in a procession around the village.","['Houtu furen', 'Tiangong', 'Tiangong yuanshuai', 'Zhanggong yuanshuai', 'Zunzhu mingwang']"
01-10,01-13,V435-1,"On 1/10–13, all the gods in the shê temple are carried around on procession.",[]
01-11,01-11,V436-1,"On 1/11 Zunzhu mingwang 尊主明 王, Houtu furen 后土夫人, Huang jiangjun 黄将军, Chen jiangjun 陈将军, Tianshang shengmu 天上圣母, and Wenlin shuima 文临水妈 are invited to go on a procession within the village. Opera is performed, and Daoist rites are held. The village shê-temple organizes the ritual, and funds are collected on a per capita basis.","['Chen jiangjun', 'Houtu furen', 'Huang jiangjun', 'Tianshang shengmu', 'Wenlin shuima', 'Zunzhu mingwang']"
01-15,01-15,V436-2,"On 1/15 there is a joint Yuanxiao for the Xibai 溪白 ten village ritual alliance. All the gods of the Xiaoyoushê 孝友社 and the Beijidian 北极殿 are invited to go on procession within the ten-fold shê. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by the ritual alliance, and funds are collected on a per capita basis throughout the region.",[]
01-13,01-13,V437-1," On 1/13 Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Huang jiangjun 黄将军, Chen jiangjun 陈将军, Tianshang shengmu 天上圣母, and Wenlin shuima 文临水妈 are invited to go on procession within the village. Opera is performed, and Daoist rites are held. masters are invited to conduct rituals. The village shê organizes the ritual, and funds are collected on a per capita basis.","['Chen jiangjun', 'Houtu furen', 'Huang jiangjun', 'Tianshang shengmu', 'Wenlin shuima', 'Zunzhu mingwang']"
